Insider Selling,,
Ticker,% of Company,Std. Change 26 wk
AAPL,0.0045,-14.0152
AAPL,0.0080,-6.2108
AAPL,0.0066,4.2310
AAPL,0.0113,13.6569
AAPL,0.0162,15.5043
AAPL,0.0100,-2.2482
AAPL,0.0057,-2.5826
MSFT,0.1923,15.1478
MSFT,0.2505,9.0163
MSFT,0.1017,3.9873
MSFT,0.2317,-4.1631
MSFT,0.2398,-15.1062
MSFT,0.2404,6.5962
AMD,3.3024,27.5334
AMD,1.9427,29.8687
AMD,4.3684,-17.2850
NVDA,0.0590,29.0340
NVDA,0.0510,13.4000
NVDA,0.0802,93.5019
FB,0.1628,-6.2017
FB,0.2158,-23.2274
FB,0.1439,-6.6491
FB,0.1562,19.1593
FB,0.1930,1.9481
FB,0.2440,13.4978
SBUX,0.0873,-5.3676
SBUX,0.0871,7.5783
SBUX,0.1537,6.6013
SBUX,0.1362,-6.7152
NKE,0.4889,5.8858
NKE,0.7536,11.8422
NKE,0.5212,17.5922
MMM,0.0324,-10.8204
MMM,0.0744,1.6068
HD,0.5577,6.8443
HD,0.4675,-5.8609
HD,0.0848,0.5708
WMT,1.2688,8.8624
WMT,0.9688,-10.2802
WMT,0.9760,-13.8136
KO,0.0116,-5.6986
KO,0.0466,-12.0135
KO,0.0271,6.5302